uid,domain,ann1,ann2,ann3,adjudicator,final_label,gold_role
28221123e51c3dd2,Social,neutral,neutral,neutral,neutral,neutral,gold_dev
37e2ff040e4af6ef,Tech,negative,positive,negative,negative,negative,
a887c698ef446bf5,Social,neutral,neutral,neutral,neutral,neutral,gold_test
13f756abb8894ba2,Tech,neutral,neutral,neutral,neutral,neutral,gold_dev
cfffa5bfc1f9ada8,Tech,neutral,neutral,neutral,neutral,neutral,
3dca42ed956be268,Finance,negative,positive,negative,negative,negative,gold_dev
494d9bb9be9f9d58,Tech,positive,positive,positive,positive,positive,
bd1076108cb97651,Tech,neutral,neutral,neutral,neutral,neutral,
bd12a0a43bca40c3,Tech,neutral,neutral,neutral,neutral,neutral,
867603b41823dada,Social,negative,neutral,neutral,neutral,neutral,gold_test
87b4b97b8f79dde3,Tech,neutral,neutral,neutral,neutral,neutral,
9d1273d2d7995f20,Tech,neutral,neutral,neutral,neutral,neutral,
3dee4bf36924983d,Finance,neutral,neutral,neutral,neutral,neutral,gold_dev
7e2050f9e95f7b4f,Tech,neutral,negative,neutral,neutral,neutral,
abc98d84736be412,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
3244b3da731bb84a,Finance,neutral,neutral,neutral,neutral,neutral,gold_test
b80cc1d693308a1c,Retail,neutral,neutral,neutral,neutral,neutral,gold_test
505a29503e288d78,Tech,positive,positive,positive,positive,positive,gold_test
6af49512d0b97ecd,Tech,neutral,neutral,neutral,neutral,neutral,
215823257d84173a,Tech,positive,positive,positive,positive,positive,
24baadd8d8fdce24,Tech,negative,neutral,neutral,neutral,neutral,
c27d06f38f823a5c,Tech,neutral,neutral,neutral,neutral,neutral,
338ca7604acedf79,Tech,negative,negative,neutral,negative,negative,
3e46784b6d8d1aee,Tech,negative,positive,positive,positive,positive,
833791b1c892275e,Retail,negative,negative,negative,negative,negative,gold_test
f42bd39b0a092206,Tech,neutral,neutral,neutral,neutral,neutral,
91fe3bade4eb4f3e,Tech,negative,negative,neutral,negative,negative,gold_test
ede5e9855204d7ea,Tech,positive,positive,positive,positive,positive,
22dbae9673f60408,Tech,neutral,neutral,neutral,neutral,neutral,gold_train
223fcdf0f0cb01bf,Tech,neutral,positive,neutral,neutral,neutral,
1755312d104e6063,Tech,negative,negative,negative,negative,negative,
5d6384c8b1ce9406,Public,neutral,neutral,neutral,neutral,neutral,gold_test
ac7e8e83d86373b0,Tech,negative,negative,negative,negative,negative,
472b333fcc1db8f7,Tech,neutral,neutral,neutral,neutral,neutral,
5c82a04860a433fb,Tech,neutral,neutral,neutral,neutral,neutral,
b1ffb6b2455a7991,Tech,neutral,neutral,neutral,neutral,neutral,
3c2ec94f6adddbb9,Tech,neutral,negative,negative,negative,negative,
355eef41b99a3042,Finance,neutral,negative,neutral,neutral,neutral,gold_test
33747d42023bdf2f,Tech,negative,negative,negative,negative,negative,
cc725b1b1322203d,Retail,neutral,neutral,neutral,neutral,neutral,gold_dev
27e7e5412a3a344c,Tech,neutral,neutral,neutral,neutral,neutral,gold_test
4507292d2ed160db,Tech,neutral,neutral,neutral,neutral,neutral,
464ae68ebef1a398,Tech,neutral,neutral,neutral,neutral,neutral,
d7c8d88803c1532e,Tech,neutral,positive,neutral,neutral,neutral,gold_dev
bf53090d3552133c,Tech,negative,positive,negative,negative,negative,
ff339b55373b7743,Social,positive,positive,positive,positive,positive,gold_test
b635be14894d4bd0,Tech,neutral,neutral,neutral,neutral,neutral,
5c4d542060862b5e,Tech,positive,negative,positive,positive,positive,
218372d02e269910,Tech,negative,negative,negative,negative,negative,
486b924d96e2d852,Tech,neutral,neutral,neutral,neutral,neutral,
cc38d841ccd37c96,Tech,neutral,neutral,neutral,neutral,neutral,
33d26c5c09e8d6ec,Tech,negative,neutral,neutral,negative,negative,
d8d3e486588b3f8a,Tech,negative,negative,negative,negative,negative,
1c35435bde5c7d70,Tech,neutral,neutral,neutral,neutral,neutral,gold_dev
573d980e1e143fb7,Social,neutral,neutral,neutral,neutral,neutral,gold_test
057e0b897fc4cdc3,Finance,neutral,neutral,neutral,neutral,neutral,gold_train
fe8e6d9ad3da6b33,Finance,negative,negative,negative,negative,negative,gold_test
26249074bc23b793,Finance,negative,negative,negative,negative,negative,gold_train
03ce26b432668be8,Tech,neutral,negative,negative,negative,negative,
d6e3016dd50724b1,Finance,neutral,neutral,neutral,neutral,neutral,gold_test
a4677b25d2d05774,Tech,neutral,neutral,neutral,neutral,neutral,
ca56a2cff9354d5d,Tech,neutral,neutral,neutral,neutral,neutral,
18f17dea6a38e575,Tech,positive,negative,negative,negative,negative,
f412c0a86813a118,Finance,neutral,positive,neutral,neutral,neutral,gold_dev
c72f7c849e61472f,Tech,negative,negative,negative,negative,negative,
99f5e3065cc965dd,Tech,negative,negative,positive,negative,negative,
930b0502969adaa7,Tech,neutral,neutral,neutral,neutral,neutral,
2dda253c62f58473,Tech,positive,positive,positive,positive,positive,
91060615f4fbc558,Tech,negative,negative,negative,negative,negative,
a52170fe28ea316f,Tech,negative,negative,neutral,negative,negative,
39cb92193e92e2c8,Tech,neutral,neutral,neutral,neutral,neutral,
431a12cdf1dbf509,Tech,neutral,neutral,neutral,neutral,neutral,
