run_id,system,regime,scope,seed,tag,macro_f1,neg_f1,neu_f1,pos_f1,n_test,backbone,wall_seconds,train_total,silver_frac,pool_mode,strict_lodo,supcon_lambda,supcon_tau,max_temp_c,nn_at_1,nn_at_5,nn_at_10,nn_at_20,nmi,ari,silhouette,davies_bouldin,anisotropy,twonn_id,centroid_within_class_cross_domain,centroid_cross_class,temperature,ece_before,ece_after,mce_before,mce_after,brier_before,brier_after,neu_ece_before
indomain.Finance.allma_ft.s13,allma_ft,indomain,Finance,13,,0.7318701422828919,0.6876640419947506,0.7863554757630161,0.7215909090909091,645,allmalab/bert-base-aze,131.2,18590,,gold+bulk,False,,,51.0,0.6945736434108527,0.6967441860465117,0.6925581395348838,0.6852713178294574,0.3434705320466877,0.3808841295409438,0.15352323651313782,2.7851995309642774,0.39084169268608093,21.785433752765464,,,1.4199999999999993,0.06975332243411977,0.04364970106239487,0.14575011786109038,0.1143678536458217,0.3663396034706253,0.3589149991660735,0.12202535100477324
indomain.Finance.allma_ft.s21,allma_ft,indomain,Finance,21,,0.7415413606836713,0.7082294264339152,0.7798507462686567,0.7365439093484419,645,allmalab/bert-base-aze,164.4,18590,,gold+bulk,False,,,52.0,0.737984496124031,0.7237209302325581,0.714108527131783,0.7024806201550388,0.36044558854264575,0.40540778581883574,0.1792142242193222,2.6274649022039673,0.25078654289245605,23.501837525049385,,,1.9900000000000004,0.11315685725907702,0.04388005105711981,0.299396560148644,0.11560884928773918,0.3717618194632159,0.34668660195186257,0.10975987275448737
indomain.Finance.allma_ft.s42,allma_ft,indomain,Finance,42,,0.744717223623338,0.7180722891566265,0.7840909090909091,0.7319884726224783,645,allmalab/bert-base-aze,128.4,18590,,gold+bulk,False,,,48.0,0.7255813953488373,0.7091472868217055,0.6967441860465117,0.6796124031007752,0.33825739296651186,0.32736217097898246,0.15392287075519562,2.7491267097025323,0.3896244466304779,24.256222378442484,,,1.3599999999999994,0.046231402393053476,0.044681039525540076,0.19021898116845481,0.11749943338308955,0.3358497022733309,0.3344112363574424,0.09636668983321307
indomain.Finance.berturk_ft.s13,berturk_ft,indomain,Finance,13,,0.7400219044703094,0.6898263027295285,0.7733333333333333,0.7569060773480663,645,dbmdz/bert-base-turkish-128k-cased,178.5,18590,,gold+bulk,False,,,56.0,0.7069767441860465,0.6902325581395349,0.6885271317829458,0.6731782945736434,0.40026159690631335,0.36797603370118875,0.18245002627372742,2.605723822573617,0.3524167239665985,22.094143928921483,,,2.045000000000001,0.10346028744066385,0.0413026722609938,0.24655706424744284,0.08794904530565517,0.3681223544014423,0.342956322648145,0.10856032021395166
indomain.Finance.berturk_ft.s21,berturk_ft,indomain,Finance,21,,0.7375240323183313,0.6747572815533981,0.7766599597585513,0.7611548556430446,645,dbmdz/bert-base-turkish-128k-cased,182.7,18590,,gold+bulk,False,,,55.0,0.7209302325581395,0.6889922480620155,0.6818604651162791,0.6718604651162791,0.35895424992245667,0.3208119317216963,0.16583822667598724,2.597865482678871,0.3910750448703766,22.613398593941714,,,1.6400000000000001,0.07942711481849349,0.04818517050872322,0.19664017844180492,0.12805815905620033,0.36082789872174703,0.3481646471079008,0.07716151702542841
indomain.Finance.berturk_ft.s42,berturk_ft,indomain,Finance,42,,0.7477633071737316,0.7123287671232876,0.7967145790554415,0.7342465753424657,645,dbmdz/bert-base-turkish-128k-cased,185.7,18590,,gold+bulk,False,,,50.0,0.6883720930232559,0.6933333333333334,0.683875968992248,0.6736434108527132,0.3761066295581741,0.3441646449653817,0.16357341408729553,2.6501126520075786,0.38511189818382263,21.811062547132167,,,1.5149999999999995,0.08084025995440902,0.044972759236812224,0.20847364695197834,0.13671880861401192,0.3586965540879939,0.34883535110003405,0.07076190037341981
indomain.Finance.fasttext_mlp.s100,fasttext_mlp,indomain,Finance,100,,0.585523178354281,0.5320197044334976,0.6549295774647887,0.569620253164557,645,,24.1,18590,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain.Finance.fasttext_mlp.s13,fasttext_mlp,indomain,Finance,13,,0.6003351925887362,0.5432692307692307,0.6504065040650406,0.6073298429319371,645,,57.8,18590,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain.Finance.fasttext_mlp.s21,fasttext_mlp,indomain,Finance,21,,0.6004445479444468,0.5539906103286385,0.649155722326454,0.5981873111782477,645,,28.1,18590,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain.Finance.fasttext_mlp.s42,fasttext_mlp,indomain,Finance,42,,0.5994825165652568,0.5590361445783133,0.6515151515151515,0.5878962536023055,645,,184.5,18590,,,,,,,,,,,,,,,,,,,,,,,,,,
